Rezept_ID;Parent_Name;Detail_ID;Variant_Name;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;SensorikProfil;PhysikalischeForm;Mix_Typ;Region_Tag;Source;Status;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Unnamed: 21;Illu_Path;Illu_Variant_Path
Rezept-0043;Garam Masala;Var-9;Nordindisch (klassisch);Kreuzkümmel 25 %, Koriander 20 %, Schwarzer Kardamom 10 %, Zimt 10 %, Nelke 8 %, Pfeffer 8 %, Muskat 5 %, Lorbeer 3 %, Fenchel 3 %, Sternanis 2 %, Chili 6 %;%;100 %;Trockenröstung, fein mahlen.;S4;P1;M1;Nordindien;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__nordindisch-klassisch.png
Rezept-0044;Garam Masala;Var-10;Pandjabi (kühl-warm);Kreuzkümmel 24 %, Koriander 22 %, Pfeffer 10 %, Zimt 10 %, Nelke 8 %, Grüner Kardamom 8 %, Schwarzer Kardamom 6 %, Muskat 4 %, Lorbeer 4 %, Fenchel 4 %;%;100 %;"Ohne Chili; dafür pfeffriger.";S4;P1;M1;Punjab;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__pandjabi-kuehl-warm.png
Rezept-0045;Garam Masala;Var-11;Bengal (duftend);Koriander 24 %, Kreuzkümmel 18 %, Fenchel 14 %, Kardamom 10 %, Zimt 10 %, Nelke 6 %, Pfeffer 6 %, Muskat 4 %, Lorbeer 4 %, Sternanis 4 %;%;100 %;Fenchelig, Duftbetonung.;S4;P1;M1;Bengalen;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__bengal-duftend.png
Rezept-0046;Garam Masala;Var-12;Kashmiri (rot);Kreuzkümmel 20 %, Koriander 18 %, Fenchel 14 %, Zimt 10 %, Kardamom 8 %, Nelke 6 %, Muskat 4 %, Pfeffer 6 %, Chili (Kashmiri) 14 %;%;100 %;Rotton durch Kashmiri Chili.;S4;P1;M1;Kashmir;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__kashmiri-rot.png
Rezept-0035;Ras el Hanout;Var-1;Marokkanisch (klassisch);Koriander 20 %, Kreuzkümmel 12 %, Zimt 10 %, Ingwer 8 %, Kurkuma 8 %, Schwarzer Pfeffer 7 %, Kardamom 6 %, Nelke 4 %, Muskat 3 %, Piment 3 %, Galgant 3 %, Rosenblüten 3 %, Chili 2 %, Lavendel 1 %;%;100 %;Trocken rösten, fein mahlen.;S4;P1;M1;Marokko;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__marokkanisch-klassisch.png
Rezept-0036;Ras el Hanout;Var-2;Fès (floral);Koriander 18 %, Kreuzkümmel 12 %, Zimt 10 %, Ingwer 8 %, Kardamom 7 %, Pfeffer 6 %, Muskat 4 %, Nelke 3 %, Piment 3 %, Galgant 3 %, Rosenblüten 10 %, Lavendel 6 %, Chili 6 %;%;100 %;Floraler Akzent (Rosen/Lavendel).;S4;P1;M1;Fès;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__fes-floral.png
Rezept-0037;Ras el Hanout;Var-3;Meknès (erdig);Koriander 22 %, Kreuzkümmel 14 %, Kurkuma 10 %, Zimt 8 %, Ingwer 8 %, Pfeffer 8 %, Piment 6 %, Fenchel 6 %, Nelke 4 %, Muskat 4 %, Galgant 4 %, Chili 6 %;%;100 %;Erdig-warm, chili-betont.;S4;P1;M1;Meknès;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__meknes-erdig.png
Rezept-0038;Ras el Hanout;Var-4;Souss (scharf);Koriander 20 %, Kreuzkümmel 12 %, Chili 14 %, Pfeffer 10 %, Ingwer 10 %, Kurkuma 8 %, Zimt 8 %, Nelke 5 %, Muskat 5 %, Kardamom 4 %, Piment 4 %;%;100 %;Scharfe Variante aus dem Süden.;S4;P1;M1;Souss;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__souss-scharf.png
Rezept-0039;Baharat;Var-5;Levant (klassisch);Piment 20 %, Pfeffer 18 %, Kreuzkümmel 16 %, Koriander 12 %, Zimt 10 %, Nelke 8 %, Kardamom 8 %, Muskat 8 %;%;100 %;Fein mahlen, ausgewogen.;S4;P1;M1;Levant;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__levant-klassisch.png
Rezept-0040;Baharat;Var-6;Gulf (mit getr. Limette);Piment 18 %, Pfeffer 16 %, Kreuzkümmel 16 %, Koriander 10 %, Zimt 8 %, Nelke 8 %, Kardamom 8 %, Muskat 8 %, Getrocknete Limette 8 %;%;100 %;Loomi (schwarze Limette) charakteristisch.;S4;P1;M1;Golf;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__gulf-mit-getr-limette.png
Rezept-0041;Baharat;Var-7;Türkisch (isot);Piment 18 %, Pfeffer 16 %, Kreuzkümmel 16 %, Koriander 10 %, Zimt 8 %, Nelke 6 %, Kardamom 6 %, Muskat 6 %, Isot/Urfa-Chili 14 %;%;100 %;Dunkle, leichte Rauchnote durch Isot.;S4;P1;M1;Türkei;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__tuerkisch-isot.png
Rezept-0042;Baharat;Var-8;Irakisch (rosig);Koriander 18 %, Pfeffer 16 %, Kreuzkümmel 14 %, Kardamom 10 %, Zimt 10 %, Nelke 8 %, Muskat 8 %, Rosenblätter 8 %, Piment 8 %;%;100 %;Rosenblätter geben florale Fülle.;S4;P1;M1;Irak;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__irakisch-rosig.png
Rezept-0001;Chai Masala;Org-1;Masala Chai (klassisch);Schwarzer Tee 40 %, Zimt 15 %, Ingwer 12 %, Kardamom 12 %, Pfeffer 8 %, Nelke 6 %, Muskat 4 %, Fenchel 3 %;%;100 %;"Mit Milch & Zucker; kräftig.";S2;P1;M1;Indien;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala__masala-chai-klassisch.png
Rezept-0002;Chai Masala;Var-2;Kashmiri Chai (noir);Grüner Tee 35 %, Kardamom 20 %, Zimt 15 %, Sternanis 6 %, Nelke 6 %, Muskat 4 %, Ingwer 10 %, Pfeffer 4 %;%;100 %;Milchtee, leicht salzig optional.;S2;P1;M1;Kashmir;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala__kashmiri-chai-noir.png
Rezept-0003;Chai Masala;Var-3;Chai Masala (Dessert-Profil);Zimt 28 %, Kardamom 18 %, Ingwer 16 %, Vanille 10 %, Pfeffer 8 %, Nelke 8 %, Muskat 6 %, Orangenschale 6 %;%;100 %;Süßer, desserttauglich.;S2;P1;M1;Indien (Adapt.);Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala__chai-masala-dessert-profil.png
Rezept-0004;Chai Masala;Var-4;Yogi-Chai (gewürzstark);Zimt 30 %, Ingwer 24 %, Kardamom 16 %, Nelke 10 %, Pfeffer 10 %, Sternanis 6 %, Fenchel 4 %;%;100 %;Ohne Tee – Kräutergewürz.;S2;P1;M1;Global;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/chai-masala__yogi-chai-gewuerzstark.png
Rezept-0053;Cajun Rub;Var-19;Texas Chili Rub;Paprika 30 %, Brauner Zucker 25 %, Salz 20 %, Pfeffer 10 %, Knoblauch 5 %, Zwiebel 5 %, Chili 3 %, Senfpulver 2 %;%;100 %;Beef Brisket, grob gemahlen.;S4;P1;M1;Texas;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub__texas-chili-rub.png
Rezept-0054;Cajun Rub;Var-20;Memphis Dry Rub;Paprika 28 %, Brauner Zucker 24 %, Salz 18 %, Pfeffer 10 %, Knoblauch 6 %, Zwiebel 6 %, Senf 4 %, Chili 4 %;%;100 %;Für Ribs, dry style.;S4;P1;M1;Memphis;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub__memphis-dry-rub.png
Rezept-0055;Cajun Rub;Var-21;Afrikanischer Suya;Erdnuss 30 %, Paprika 20 %, Chili 15 %, Ingwer 10 %, Knoblauch 8 %, Zwiebel 7 %, Pfeffer 5 %, Brühepulver 3 %, Salz 2 %;%;100 %;Westafrikanischer Spieß-Rub.;S4;P1;M1;Westafrika;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/cajun-rub__afrikanischer-suya.png
Rezept-0005;Lebkuchengewürz;Var-1;Nürnberger Elisen;Zimt 42 %, Nelke 12 %, Piment 10 %, Muskat 8 %, Ingwer 10 %, Kardamom 8 %, Koriander 6 %, Anis 4 %;%;100 %;"Trocken rösten, fein mahlen; zimtbetont.";S2;P1;M1;Nürnberg;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__nuernberger-elisen.png
Rezept-0006;Lebkuchengewürz;Var-2;Aachener Printen;Zimt 35 %, Anis 12 %, Nelke 10 %, Piment 10 %, Koriander 10 %, Ingwer 8 %, Kardamom 6 %, Muskat 5 %, Macis 4 %;%;100 %;Für Honigteige (Pottasche/Hirschhornsalz).;S2;P1;M1;Aachen;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__aachener-printen.png
Rezept-0007;Lebkuchengewürz;Var-3;Basler Läckerli;Zimt 38 %, Nelke 10 %, Koriander 14 %, Muskat 8 %, Piment 8 %, Ingwer 10 %, Kardamom 6 %, Sternanis 6 %;%;100 %;"Koriander typisch; mit kandierter Orange/Zitrone.";S2;P1;M1;Basel;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__basler-laeckerli.png
Rezept-0008;Lebkuchengewürz;Var-4;Pain d’épices;Zimt 32 %, Anis 18 %, Ingwer 16 %, Nelke 10 %, Muskat 8 %, Piment 8 %, Kardamom 5 %, Koriander 3 %;%;100 %;Anis-hoch, ideal für Honigbrote.;S2;P1;M1;Frankreich;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__pain-depices.png
Rezept-0009;Lebkuchengewürz;Var-5;Pfefferkuchen (Sachsen);Zimt 30 %, Nelke 12 %, Piment 10 %, Ingwer 14 %, Schwarzer Pfeffer 8 %, Muskat 8 %, Kardamom 8 %, Koriander 6 %, Anis 4 %;%;100 %;Spürbarer Pfefferkick.;S2;P1;M1;Sachsen/Schlesien;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__pfefferkuchen-sachsen.png
Rezept-0010;Lebkuchengewürz;Var-6;Pfeffernüsse (Norddeutsch);Zimt 28 %, Ingwer 18 %, Schwarzer Pfeffer 12 %, Kardamom 10 %, Nelke 8 %, Muskat 8 %, Piment 8 %, Anis 6 %, Zitronenschale 2 %;%;100 %;"Frisch-pfeffrig; Zitrus hebt Süße.";S2;P1;M1;Norddeutschland;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__pfeffernuesse-norddeutsch.png
Rezept-0011;Lebkuchengewürz;Var-7;Lebkuchen mild (Kinder);Zimt 45 %, Vanille 6 %, Kardamom 10 %, Ingwer 10 %, Koriander 8 %, Piment 8 %, Nelke 6 %, Muskat 5 %, Orangenschale 2 %;%;100 %;Weich, ohne Schärfespitzen.;S2;P1;M1;DE;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__lebkuchen-mild-kinder.png
Rezept-0012;Lebkuchengewürz;Var-8;Lebkuchen gewürzstark;Zimt 36 %, Nelke 14 %, Piment 12 %, Muskat 10 %, Ingwer 12 %, Kardamom 8 %, Sternanis 5 %, Koriander 3 %;%;100 %;Hohe Nelke/Piment, langes Finish.;S2;P1;M1;DE;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__lebkuchen-gewuerzstark.png
Rezept-0013;Madras Curry;Var-1;Madras (gelb, mild–mittel);Koriander 25 %, Kurkuma 22 %, Kreuzkümmel 15 %, Bockshornklee 8 %, Fenchel 6 %, Senfsaat 6 %, Chili 8 %, Ingwer 5 %, Pfeffer 3 %, Knoblauch 2 %;%;100 %;"Klassisch gelb; UK-Style kompatibel.";S4;P1;M1;Südindien/UK;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/madras-curry.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/madras-curry__madras-gelb-mildmittel.png
Rezept-0051;Jerk Seasoning;Var-17;Jamaican Jerk (classic);Piment 22 %, Frühlingszwiebel getr. 10 %, Thymian 10 %, Zimt 8 %, Muskat 6 %, Ingwer 8 %, Pfeffer 8 %, Knoblauch 6 %, Chili (Scotch Bonnet, getr.) 15 %, Zucker 5 %, Salz 2 %;%;100 %;"Trockenrub; frisch oft als Paste.";S4;P1;M1;Jamaika;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning__jamaican-jerk-classic.png
Rezept-0052;Jerk Seasoning;Var-18;Jerk Paste (wet);Piment 18 %, Frühlingszwiebel 12 %, Thymian 10 %, Zimt 6 %, Muskat 6 %, Ingwer 8 %, Pfeffer 8 %, Knoblauch 8 %, Scotch Bonnet 14 %, Limettensaft 5 %, Öl 5 %;%;100 %;"Feuchtmarinade; P2.";S4;P2;M1;Jamaika;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning__jerk-paste-wet.png
Rezept-0062;Harissa (trocken);Var-2;Harissa (Tunesien, klassisch);Getrocknete Chilis 40 %, Knoblauch 10 %, Kreuzkümmel 8 %, Koriander 8 %, Paprika 8 %, Salz 6 %, Olivenöl 20 %;%;100 %;Chilis einweichen, mit Gewürzen und Öl fein pürieren. Ölfilm obenauf als Oxidationsschutz.;S4;P2;M5;Tunesien;W3_HotSauces;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/harissa-trocken.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/harissa-trocken__harissa-tunesien-klassisch.png
Rezept-0014;Rendang-Bumbu;Var-1;Rendang Spice/Paste;Koriander 16 %, Kreuzkümmel 10 %, Galgant 12 %, Kurkuma 10 %, Chili 16 %, Zitronengras 10 %, Knoblauch 6 %, Schalotte 6 %, Kaffirlimettenblatt 4 %, Kardamom 4 %, Zimt 4 %, Sternanis 2 %;%;100 %;Trockenmix oder Paste.;S4;P2;M1;Indonesien/Sumatra;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rendang-bumbu.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rendang-bumbu__rendang-spice-paste.png
Rezept-0015;Za’atar (Levante);Org-1;Levant klassisch;Syrischer Ysop 40 %, Sumach 25 %, Sesam 30 %, Salz 5 %;%;100 %;Mit Olivenöl zu Paste möglich.;S5;P1;M1;Levant;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/zaatar-levante.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/zaatar-levante__levant-klassisch.png
Rezept-0016;Za’atar (Levante);Var-2;Jordanisch;Ysop/Thymian 45 %, Sumach 20 %, Sesam 30 %, Salz 5 %;%;100 %;Thymianbetont.;S5;P1;M1;Jordanien;Variants_v1;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/zaatar-levante.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/zaatar-levante__jordanisch.png
